id,name,location,address,opening_time,closing_time,dine_in,delivery,pickup
224,PRIMA SRI GOMBAK,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
225,"ZUS Coffee – Ecohill, Semenyih",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
226,BANDAR BARU SELAYANG,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
227,BANDAR BUKIT RAJA,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
228,SETIA ALAM TP2,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
229,SUNWAY PINNACLE,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
230,KOTA KEMUNING,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
231,SHAH ALAM SEKSYEN 7,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
232,"ZUS Coffee – MKH Boulevard, Kajang",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
233,THE CURVE,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
234,?CHERAS TRADER SQUARE,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
235,MAIN PLACE,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
236,ZUS BUKIT TINGGI 2,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
237,ZUS Coffee – The Mines Shopping Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
238,IOI RIO CITY,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
239,PUCHONG IOI MALL,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
240,BANDAR MENJALARA,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
241,MASJID JAMEK,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
242,BANDAR SRI PERMAISURI,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
243,PAVILION BUKIT JALIL,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
244,MYTOWN CHERAS,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
245,"ZUS Coffee – Taman Bendahara, Kuala Selangor",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
246,MID VALLEY MEGAMALL,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
247,"ZUS Coffee – Fortune Centra, Kepong",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
248,FOUND8 KL SENTRAL,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
249,PUBLIKA,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
250,PLAZA DAMAS,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
251,SRI PETALING,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
252,KL EAST MALL,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
253,DANAU KOTA,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
254,EKOCHERAS MALL,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
255,BINJAI 8 PREMIUM SOHO,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
256,"ZUS Coffee – The Park Sky Residence, Bukit Jalil",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
257,TAMAN DESA,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
258,BINJAI 8 PREMIUM SOHO,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
